medal_type,name,gender,country_code,country,nationality_code,nationality,event,birth_date
Gold Medal,EVENEPOEL Remco,Male,BEL,Belgium,BEL,Belgium,Men's Individual Time Trial,2000-01-25
Silver Medal,GANNA Filippo,Male,ITA,Italy,ITA,Italy,Men's Individual Time Trial,1996-07-25
Bronze Medal,van AERT Wout,Male,BEL,Belgium,BEL,Belgium,Men's Individual Time Trial,1994-09-15
Gold Medal,BROWN Grace,Female,AUS,Australia,AUS,Australia,Women's Individual Time Trial,1992-07-07
Silver Medal,HENDERSON Anna,Female,GBR,Great Britain,GBR,Great Britain,Women's Individual Time Trial,1998-11-14
Bronze Medal,DYGERT Chloe,Female,USA,United States,USA,United States,Women's Individual Time Trial,1997-01-01
Gold Medal,OH Sanguk,Male,KOR,Korea,KOR,Korea,Men's Sabre Individual,1996-09-30
Silver Medal,FERJANI Fares,Male,TUN,Tunisia,TUN,Tunisia,Men's Sabre Individual,1997-07-22
Bronze Medal,SAMELE Luigi,Male,ITA,Italy,ITA,Italy,Men's Sabre Individual,1987-07-25
Gold Medal,KONG Man Wai Vivian,Female,HKG,"Hong Kong, China",HKG,"Hong Kong, China",Women's Épée Individual,1994-02-08
Silver Medal,MALLO-BRETON Auriane,Female,FRA,France,FRA,France,Women's Épée Individual,1993-10-11
Bronze Medal,MUHARI Eszter,Female,HUN,Hungary,HUN,Hungary,Women's Épée Individual,2002-09-30
Gold Medal,SMETOV Yeldos,Male,KAZ,Kazakhstan,KAZ,Kazakhstan,Men -60 kg,1992-09-09
Silver Medal,MKHEIDZE Luka,Male,FRA,France,FRA,France,Men -60 kg,1996-01-05
Bronze Medal,NAGAYAMA Ryuju,Male,JPN,Japan,JPN,Japan,Men -60 kg,1996-04-15
Bronze Medal,GARRIGOS Francisco,Male,ESP,Spain,ESP,Spain,Men -60 kg,1994-12-09
Gold Medal,TSUNODA Natsumi,Female,JPN,Japan,JPN,Japan,Women -48 kg,1992-08-06
Silver Medal,BAVUUDORJ Baasankhuu,Female,MGL,Mongolia,MGL,Mongolia,Women -48 kg,1999-11-26
Bronze Medal,BOUKLI Shirine,Female,FRA,France,FRA,France,Women -48 kg,1999-01-24
Bronze Medal,BABULFATH Tara,Female,SWE,Sweden,SWE,Sweden,Women -48 kg,2006-01-03
Gold Medal,MAERTENS Lukas,Male,GER,Germany,GER,Germany,Men's 400m Freestyle,2001-12-27
Silver Medal,WINNINGTON Elijah,Male,AUS,Australia,AUS,Australia,Men's 400m Freestyle,2000-05-05
Bronze Medal,KIM Woomin,Male,KOR,Korea,KOR,Korea,Men's 400m Freestyle,2001-08-24
Gold Medal,TITMUS Ariarne,Female,AUS,Australia,AUS,Australia,Women's 400m Freestyle,2000-09-07
Silver Medal,McINTOSH Summer,Female,CAN,Canada,CAN,Canada,Women's 400m Freestyle,2006-08-18
Bronze Medal,LEDECKY Katie,Female,USA,United States,USA,United States,Women's 400m Freestyle,1997-03-17
Gold Medal,FOX Jessica,Female,AUS,Australia,AUS,Australia,Women's Kayak Single,1994-06-11
Silver Medal,ZWOLINSKA Klaudia,Female,POL,Poland,POL,Poland,Women's Kayak Single,1998-12-18
Bronze Medal,WOODS Kimberley,Female,GBR,Great Britain,GBR,Great Britain,Women's Kayak Single,1995-09-08
Gold Medal,FERRAND PREVOT Pauline,Female,FRA,France,FRA,France,Women's Cross-country,1992-02-10
Silver Medal,BATTEN Haley,Female,USA,United States,USA,United States,Women's Cross-country,1998-09-19
Bronze Medal,RISSVEDS Jenny,Female,SWE,Sweden,SWE,Sweden,Women's Cross-country,1994-06-06
Gold Medal,KANO Koki,Male,JPN,Japan,JPN,Japan,Men's Épée Individual,1997-12-19
Silver Medal,BOREL Yannick,Male,FRA,France,FRA,France,Men's Épée Individual,1988-11-05
Bronze Medal,ELSAYED Mohamed,Male,EGY,Egypt,EGY,Egypt,Men's Épée Individual,2003-03-03
Gold Medal,KIEFER Lee,Female,USA,United States,USA,United States,Women's Foil Individual,1994-06-15
Silver Medal,SCRUGGS Lauren,Female,USA,United States,USA,United States,Women's Foil Individual,2003-01-27
Bronze Medal,HARVEY Eleanor,Female,CAN,Canada,CAN,Canada,Women's Foil Individual,1995-01-14
Gold Medal,ABE Hifumi,Male,JPN,Japan,JPN,Japan,Men -66 kg,1997-08-09
Silver Medal,LIMA Willian,Male,BRA,Brazil,BRA,Brazil,Men -66 kg,2000-01-31
Bronze Medal,KYRGYZBAYEV Gusman,Male,KAZ,Kazakhstan,KAZ,Kazakhstan,Men -66 kg,1992-09-28
Bronze Medal,VIERU Denis,Male,MDA,Republic of Moldova,MDA,Republic of Moldova,Men -66 kg,1996-03-10
Gold Medal,KELDIYOROVA Diyora,Female,UZB,Uzbekistan,UZB,Uzbekistan,Women -52 kg,1998-07-13
Silver Medal,KRASNIQI Distria,Female,KOS,Kosovo,KOS,Kosovo,Women -52 kg,1995-12-10
Bronze Medal,PIMENTA Larissa,Female,BRA,Brazil,BRA,Brazil,Women -52 kg,1999-03-01
Bronze Medal,BUCHARD Amandine,Female,FRA,France,FRA,France,Women -52 kg,1995-07-12
Gold Medal,XIE Yu,Male,CHN,China,CHN,China,10m Air Pistol Men,2000-06-12
Silver Medal,MALDINI Federico Nilo,Male,ITA,Italy,ITA,Italy,10m Air Pistol Men,2001-03-28
Bronze Medal,MONNA Paolo,Male,ITA,Italy,ITA,Italy,10m Air Pistol Men,1998-04-19
Gold Medal,OH Ye Jin,Female,KOR,Korea,KOR,Korea,10m Air Pistol Women,2005-05-10
Silver Medal,KIM Yeji,Female,KOR,Korea,KOR,Korea,10m Air Pistol Women,1992-09-04
Bronze Medal,BHAKER Manu,Female,IND,India,IND,India,10m Air Pistol Women,2002-02-18
Gold Medal,YOSHIZAWA Coco,Female,JPN,Japan,JPN,Japan,Women's Street,2009-09-22
Silver Medal,AKAMA Liz,Female,JPN,Japan,JPN,Japan,Women's Street,2009-01-08
Bronze Medal,LEAL Rayssa,Female,BRA,Brazil,BRA,Brazil,Women's Street,2008-01-04
Gold Medal,MARTINENGHI Nicolo,Male,ITA,Italy,ITA,Italy,Men's 100m Breaststroke,1999-08-01
Silver Medal,PEATY Adam,Male,GBR,Great Britain,GBR,Great Britain,Men's 100m Breaststroke,1994-12-28
Silver Medal,FINK Nic,Male,USA,United States,USA,United States,Men's 100m Breaststroke,1993-07-03
Gold Medal,MARCHAND Leon,Male,FRA,France,FRA,France,Men's 400m Individual Medley,2002-05-17
Silver Medal,MATSUSHITA Tomoyuki,Male,JPN,Japan,JPN,Japan,Men's 400m Individual Medley,2005-08-01
Bronze Medal,FOSTER Carson,Male,USA,United States,USA,United States,Men's 400m Individual Medley,2001-10-26
Gold Medal,HUSKE Torri,Female,USA,United States,USA,United States,Women's 100m Butterfly,2002-12-07
Silver Medal,WALSH Gretchen,Female,USA,United States,USA,United States,Women's 100m Butterfly,2003-01-29
Bronze Medal,ZHANG Yufei,Female,CHN,China,CHN,China,Women's 100m Butterfly,1998-04-19
Gold Medal,GESTIN Nicolas,Male,FRA,France,FRA,France,Men's Canoe Single,2000-03-14
Silver Medal,BURGESS Adam,Male,GBR,Great Britain,GBR,Great Britain,Men's Canoe Single,1992-07-17
Bronze Medal,BENUS Matej,Male,SVK,Slovakia,SVK,Slovakia,Men's Canoe Single,1987-11-02
Gold Medal,PIDCOCK Thomas,Male,GBR,Great Britain,GBR,Great Britain,Men's Cross-country,1999-07-30
Silver Medal,KORETZKY Victor,Male,FRA,France,FRA,France,Men's Cross-country,1994-08-26
Bronze Medal,HATHERLY Alan,Male,RSA,South Africa,RSA,South Africa,Men's Cross-country,1996-03-15
Gold Medal,JUNG Michael,Male,GER,Germany,GER,Germany,Eventing Individual,1982-07-31
Silver Medal,BURTON Christopher,Male,AUS,Australia,AUS,Australia,Eventing Individual,1981-11-22
Bronze Medal,COLLETT Laura,Female,GBR,Great Britain,GBR,Great Britain,Eventing Individual,1989-08-31
Gold Medal,CHEUNG Ka Long,Male,HKG,"Hong Kong, China",HKG,"Hong Kong, China",Men's Foil Individual,1997-06-10
Silver Medal,MACCHI Filippo,Male,ITA,Italy,ITA,Italy,Men's Foil Individual,2001-09-19
Bronze Medal,ITKIN Nick,Male,USA,United States,USA,United States,Men's Foil Individual,1999-10-09
Gold Medal,APITHY-BRUNET Manon,Female,FRA,France,FRA,France,Women's Sabre Individual,1996-02-07
Silver Medal,BALZER Sara,Female,FRA,France,FRA,France,Women's Sabre Individual,1995-04-03
Bronze Medal,KHARLAN Olga,Female,UKR,Ukraine,UKR,Ukraine,Women's Sabre Individual,1990-09-04
Gold Medal,HEYDAROV Hidayat,Male,AZE,Azerbaijan,AZE,Azerbaijan,Men -73 kg,1997-07-27
Silver Medal,GABA Joan-Benjamin,Male,FRA,France,FRA,France,Men -73 kg,2001-01-07
Bronze Medal,OSMANOV Adil,Male,MDA,Republic of Moldova,MDA,Republic of Moldova,Men -73 kg,2000-07-02
Bronze Medal,HASHIMOTO Soichi,Male,JPN,Japan,JPN,Japan,Men -73 kg,1991-08-24
Gold Medal,DEGUCHI Christa,Female,CAN,Canada,CAN,Canada,Women -57 kg,1995-10-29
Silver Medal,HUH Mimi,Female,KOR,Korea,KOR,Korea,Women -57 kg,2002-12-19
Bronze Medal,FUNAKUBO Haruka,Female,JPN,Japan,JPN,Japan,Women -57 kg,1998-10-10
Bronze Medal,CYSIQUE Sarah Leonie,Female,FRA,France,FRA,France,Women -57 kg,1998-07-06
Gold Medal,SHENG Lihao,Male,CHN,China,CHN,China,10m Air Rifle Men,2004-12-04
Silver Medal,LINDGREN Victor,Male,SWE,Sweden,SWE,Sweden,10m Air Rifle Men,2003-05-16
Bronze Medal,MARICIC Miran,Male,CRO,Croatia,CRO,Croatia,10m Air Rifle Men,1997-06-17
Gold Medal,BAN Hyojin,Female,KOR,Korea,KOR,Korea,10m Air Rifle Women,2007-09-20
Silver Medal,HUANG Yuting,Female,CHN,China,CHN,China,10m Air Rifle Women,2006-09-03
Bronze Medal,GOGNIAT Audrey,Female,SUI,Switzerland,SUI,Switzerland,10m Air Rifle Women,2002-10-30
Gold Medal,HORIGOME Yuto,Male,JPN,Japan,JPN,Japan,Men's Street,1999-01-07
Silver Medal,EATON Jagger,Male,USA,United States,USA,United States,Men's Street,2001-02-21
Bronze Medal,HUSTON Nyjah,Male,USA,United States,USA,United States,Men's Street,1994-11-30
Gold Medal,CECCON Thomas,Male,ITA,Italy,ITA,Italy,Men's 100m Backstroke,2001-01-27
Silver Medal,XU Jiayu,Male,CHN,China,CHN,China,Men's 100m Backstroke,1995-08-19
Bronze Medal,MURPHY Ryan,Male,USA,United States,USA,United States,Men's 100m Backstroke,1995-07-02
Gold Medal,POPOVICI David,Male,ROU,Romania,ROU,Romania,Men's 200m Freestyle,2004-09-15
Silver Medal,RICHARDS Matthew,Male,GBR,Great Britain,GBR,Great Britain,Men's 200m Freestyle,2002-12-17
Bronze Medal,HOBSON Luke,Male,USA,United States,USA,United States,Men's 200m Freestyle,2003-06-25
Gold Medal,SMITH Tatjana,Female,RSA,South Africa,RSA,South Africa,Women's 100m Breaststroke,1997-07-09
Silver Medal,TANG Qianting,Female,CHN,China,CHN,China,Women's 100m Breaststroke,2004-03-14
Bronze Medal,Mc SHARRY Mona,Female,IRL,Ireland,IRL,Ireland,Women's 100m Breaststroke,2000-08-21
Gold Medal,O'CALLAGHAN Mollie,Female,AUS,Australia,AUS,Australia,Women's 200m Freestyle,2004-04-02
Silver Medal,TITMUS Ariarne,Female,AUS,Australia,AUS,Australia,Women's 200m Freestyle,2000-09-07
Bronze Medal,HAUGHEY Siobhan Bernadette,Female,HKG,"Hong Kong, China",HKG,"Hong Kong, China",Women's 200m Freestyle,1997-10-31
Gold Medal,McINTOSH Summer,Female,CAN,Canada,CAN,Canada,Women's 400m Individual Medley,2006-08-18
Silver Medal,GRIMES Katie,Female,USA,United States,USA,United States,Women's 400m Individual Medley,2006-01-08
Bronze Medal,WEYANT Emma,Female,USA,United States,USA,United States,Women's 400m Individual Medley,2001-12-24
Gold Medal,NAGASE Takanori,Male,JPN,Japan,JPN,Japan,Men -81 kg,1993-10-14
Silver Medal,GRIGALASHVILI Tato,Male,GEO,Georgia,GEO,Georgia,Men -81 kg,1999-12-01
Bronze Medal,LEE Joonhwan,Male,KOR,Korea,KOR,Korea,Men -81 kg,2002-06-19
Bronze Medal,MAKHMADBEKOV Somon,Male,TJK,Tajikistan,TJK,Tajikistan,Men -81 kg,1999-03-24
Gold Medal,LESKI Andreja,Female,SLO,Slovenia,SLO,Slovenia,Women -63 kg,1997-01-08
Silver Medal,AWITI ALCARAZ Prisca,Female,MEX,Mexico,MEX,Mexico,Women -63 kg,1996-02-20
Bronze Medal,AGBEGNENOU Clarisse,Female,FRA,France,FRA,France,Women -63 kg,1992-10-25
Bronze Medal,FAZLIU Laura,Female,KOS,Kosovo,KOS,Kosovo,Women -63 kg,2000-09-28
Gold Medal,HALES Nathan,Male,GBR,Great Britain,GBR,Great Britain,Trap Men,1996-06-16
Silver Medal,QI Ying,Male,CHN,China,CHN,China,Trap Men,1997-01-23
Bronze Medal,BROL CARDENAS Jean Pierre,Male,GUA,Guatemala,GUA,Guatemala,Trap Men,1982-12-18
Gold Medal,WIFFEN Daniel,Male,IRL,Ireland,IRL,Ireland,Men's 800m Freestyle,2001-07-14
Silver Medal,FINKE Bobby,Male,USA,United States,USA,United States,Men's 800m Freestyle,1999-11-06
Bronze Medal,PALTRINIERI Gregorio,Male,ITA,Italy,ITA,Italy,Men's 800m Freestyle,1994-09-05
Gold Medal,McKEOWN Kaylee,Female,AUS,Australia,AUS,Australia,Women's 100m Backstroke,2001-07-12
Silver Medal,SMITH Regan,Female,USA,United States,USA,United States,Women's 100m Backstroke,2002-02-09
Bronze Medal,BERKOFF Katharine,Female,USA,United States,USA,United States,Women's 100m Backstroke,2001-01-28
Gold Medal,OKA Shinnosuke,Male,JPN,Japan,JPN,Japan,Men's All-Around,2003-10-31
Silver Medal,ZHANG Boheng,Male,CHN,China,CHN,China,Men's All-Around,2000-03-04
Bronze Medal,XIAO Ruoteng,Male,CHN,China,CHN,China,Men's All-Around,1996-01-30
Gold Medal,FOX Jessica,Female,AUS,Australia,AUS,Australia,Women's Canoe Single,1994-06-11
Silver Medal,LILIK Elena,Female,GER,Germany,GER,Germany,Women's Canoe Single,1998-09-14
Bronze Medal,LEIBFARTH Evy,Female,USA,United States,USA,United States,Women's Canoe Single,2004-01-26
Gold Medal,TORRES GIL Jose,Male,ARG,Argentina,ARG,Argentina,Men's Park,1995-03-28
Silver Medal,REILLY Kieran Darren David,Male,GBR,Great Britain,GBR,Great Britain,Men's Park,2001-07-12
Bronze Medal,JEANJEAN Anthony,Male,FRA,France,FRA,France,Men's Park,1998-05-13
Gold Medal,DENG Yawen,Female,CHN,China,CHN,China,Women's Park,2005-10-17
Silver Medal,BENEGAS Perris,Female,USA,United States,USA,United States,Women's Park,1995-07-22
Bronze Medal,DIEHM Natalya,Female,AUS,Australia,AUS,Australia,Women's Park,1997-09-23
Gold Medal,BEKAURI Lasha,Male,GEO,Georgia,GEO,Georgia,Men -90 kg,2000-07-26
Silver Medal,MURAO Sanshiro,Male,JPN,Japan,JPN,Japan,Men -90 kg,2000-08-28
Bronze Medal,NGAYAP HAMBOU Maxime-Gael,Male,FRA,France,FRA,France,Men -90 kg,2001-06-22
Bronze Medal,TSELIDIS Theodoros,Male,GRE,Greece,GRE,Greece,Men -90 kg,1996-08-05
Gold Medal,MATIC Barbara,Female,CRO,Croatia,CRO,Croatia,Women -70 kg,1994-12-03
Silver Medal,BUTKEREIT Miriam,Female,GER,Germany,GER,Germany,Women -70 kg,1994-05-08
Bronze Medal,POLLERES Michaela,Female,AUT,Austria,AUT,Austria,Women -70 kg,1997-07-15
Bronze Medal,WILLEMS Gabriella,Female,BEL,Belgium,BEL,Belgium,Women -70 kg,1997-07-01
Gold Medal,RUANO OLIVA Adriana,Female,GUA,Guatemala,GUA,Guatemala,Trap Women,1995-06-26
Silver Medal,STANCO Silvana Maria,Female,ITA,Italy,ITA,Italy,Trap Women,1993-01-06
Bronze Medal,SMITH Penny,Female,AUS,Australia,AUS,Australia,Trap Women,1995-04-21
Gold Medal,PAN Zhanle,Male,CHN,China,CHN,China,Men's 100m Freestyle,2004-08-04
Silver Medal,CHALMERS Kyle,Male,AUS,Australia,AUS,Australia,Men's 100m Freestyle,1998-06-25
Bronze Medal,POPOVICI David,Male,ROU,Romania,ROU,Romania,Men's 100m Freestyle,2004-09-15
Gold Medal,MARCHAND Leon,Male,FRA,France,FRA,France,Men's 200m Breaststroke,2002-05-17
Silver Medal,STUBBLETY-COOK Zac,Male,AUS,Australia,AUS,Australia,Men's 200m Breaststroke,1999-01-04
Bronze Medal,CORBEAU Caspar,Male,NED,Netherlands,NED,Netherlands,Men's 200m Breaststroke,2001-04-03
Gold Medal,MARCHAND Leon,Male,FRA,France,FRA,France,Men's 200m Butterfly,2002-05-17
Silver Medal,MILAK Kristof,Male,HUN,Hungary,HUN,Hungary,Men's 200m Butterfly,2000-02-20
Bronze Medal,KHARUN Ilya,Male,CAN,Canada,CAN,Canada,Men's 200m Butterfly,2005-02-07
Gold Medal,SJOESTROEM Sarah,Female,SWE,Sweden,SWE,Sweden,Women's 100m Freestyle,1993-08-17
Silver Medal,HUSKE Torri,Female,USA,United States,USA,United States,Women's 100m Freestyle,2002-12-07
Bronze Medal,HAUGHEY Siobhan Bernadette,Female,HKG,"Hong Kong, China",HKG,"Hong Kong, China",Women's 100m Freestyle,1997-10-31
Gold Medal,LEDECKY Katie,Female,USA,United States,USA,United States,Women's 1500m Freestyle,1997-03-17
Silver Medal,KIRPICHNIKOVA Anastasiia,Female,FRA,France,FRA,France,Women's 1500m Freestyle,2000-06-24
Bronze Medal,GOSE Isabel,Female,GER,Germany,GER,Germany,Women's 1500m Freestyle,2002-05-09
Gold Medal,YEE Alex,Male,GBR,Great Britain,GBR,Great Britain,Men's Individual,1998-02-18
Silver Medal,WILDE Hayden,Male,NZL,New Zealand,NZL,New Zealand,Men's Individual,1997-09-01
Bronze Medal,BERGERE Leo,Male,FRA,France,FRA,France,Men's Individual,1996-06-28
Gold Medal,BEAUGRAND Cassandre,Female,FRA,France,FRA,France,Women's Individual,1997-05-23
Silver Medal,DERRON Julie,Female,SUI,Switzerland,SUI,Switzerland,Women's Individual,1996-09-10
Bronze Medal,POTTER Beth,Female,GBR,Great Britain,GBR,Great Britain,Women's Individual,1991-12-27
Gold Medal,BILES Simone,Female,USA,United States,USA,United States,Women's All-Around,1997-03-14
Silver Medal,ANDRADE Rebeca,Female,BRA,Brazil,BRA,Brazil,Women's All-Around,1999-05-08
Bronze Medal,LEE Sunisa,Female,USA,United States,USA,United States,Women's All-Around,2003-03-09
Gold Medal,PINTADO Brian Daniel,Male,ECU,Ecuador,ECU,Ecuador,Men's 20km Race Walk,1995-07-29
Silver Medal,BONFIM Caio,Male,BRA,Brazil,BRA,Brazil,Men's 20km Race Walk,1991-03-19
Bronze Medal,MARTIN Alvaro,Male,ESP,Spain,ESP,Spain,Men's 20km Race Walk,1994-06-18
Gold Medal,YANG Jiayu,Female,CHN,China,CHN,China,Women's 20km Race Walk,1996-02-18
Silver Medal,PEREZ Maria,Female,ESP,Spain,ESP,Spain,Women's 20km Race Walk,1996-04-29
Bronze Medal,MONTAG Jemima,Female,AUS,Australia,AUS,Australia,Women's 20km Race Walk,1998-02-15
Gold Medal,de GENNARO Giovanni,Male,ITA,Italy,ITA,Italy,Men's Kayak Single,1992-07-21
Silver Medal,CASTRYCK Titouan,Male,FRA,France,FRA,France,Men's Kayak Single,2004-08-28
Bronze Medal,ECHANIZ Pau,Male,ESP,Spain,ESP,Spain,Men's Kayak Single,2001-05-29
Gold Medal,KOTSOIEV Zelym,Male,AZE,Azerbaijan,AZE,Azerbaijan,Men -100 kg,1998-08-09
Silver Medal,SULAMANIDZE Ilia,Male,GEO,Georgia,GEO,Georgia,Men -100 kg,2001-06-18
Bronze Medal,PALTCHIK Peter,Male,ISR,Israel,ISR,Israel,Men -100 kg,1992-01-04
Bronze Medal,TUROBOYEV Muzaffarbek,Male,UZB,Uzbekistan,UZB,Uzbekistan,Men -100 kg,2000-04-05
Gold Medal,BELLANDI Alice,Female,ITA,Italy,ITA,Italy,Women -78 kg,1998-11-20
Silver Medal,LANIR Inbar,Female,ISR,Israel,ISR,Israel,Women -78 kg,2000-04-03
Bronze Medal,MA Zhenzhao,Female,CHN,China,CHN,China,Women -78 kg,1998-04-24
Bronze Medal,SAMPAIO Patricia,Female,POR,Portugal,POR,Portugal,Women -78 kg,1999-06-30
Gold Medal,LIU Yukun,Male,CHN,China,CHN,China,50m Rifle 3 Positions Men,1997-04-12
Silver Medal,KULISH Serhiy,Male,UKR,Ukraine,UKR,Ukraine,50m Rifle 3 Positions Men,1993-04-17
Bronze Medal,KUSALE Swapnil,Male,IND,India,IND,India,50m Rifle 3 Positions Men,1995-08-06
Gold Medal,KOS Hubert,Male,HUN,Hungary,HUN,Hungary,Men's 200m Backstroke,2003-03-28
Silver Medal,CHRISTOU Apostolos,Male,GRE,Greece,GRE,Greece,Men's 200m Backstroke,1996-11-01
Bronze Medal,MITYUKOV Roman,Male,SUI,Switzerland,SUI,Switzerland,Men's 200m Backstroke,2000-07-30
Gold Medal,DOUGLASS Kate,Female,USA,United States,USA,United States,Women's 200m Breaststroke,2001-11-17
Silver Medal,SMITH Tatjana,Female,RSA,South Africa,RSA,South Africa,Women's 200m Breaststroke,1997-07-09
Bronze Medal,SCHOUTEN Tes,Female,NED,Netherlands,NED,Netherlands,Women's 200m Breaststroke,2000-12-31
Gold Medal,McINTOSH Summer,Female,CAN,Canada,CAN,Canada,Women's 200m Butterfly,2006-08-18
Silver Medal,SMITH Regan,Female,USA,United States,USA,United States,Women's 200m Butterfly,2002-02-09
Bronze Medal,ZHANG Yufei,Female,CHN,China,CHN,China,Women's 200m Butterfly,1998-04-19
Gold Medal,CHEPTEGEI Joshua,Male,UGA,Uganda,UGA,Uganda,"Men's 10,000m",1996-09-12
Silver Medal,AREGAWI Berihu,Male,ETH,Ethiopia,ETH,Ethiopia,"Men's 10,000m",2001-02-28
Bronze Medal,FISHER Grant,Male,USA,United States,USA,United States,"Men's 10,000m",1997-04-22
Gold Medal,DAUDET Joris,Male,FRA,France,FRA,France,Men,1991-02-12
Silver Medal,ANDRE Sylvain,Male,FRA,France,FRA,France,Men,1992-10-14
Bronze Medal,MAHIEU Romain,Male,FRA,France,FRA,France,Men,1995-02-17
Gold Medal,SAKAKIBARA Saya,Female,AUS,Australia,AUS,Australia,Women,1999-08-23
Silver Medal,VEENSTRA Manon,Female,NED,Netherlands,NED,Netherlands,Women,1998-07-06
Bronze Medal,CLAESSENS Zoe,Female,SUI,Switzerland,SUI,Switzerland,Women,2001-04-28
Gold Medal,RINER Teddy,Male,FRA,France,FRA,France,Men +100 kg,1989-04-07
Silver Medal,KIM Minjong,Male,KOR,Korea,KOR,Korea,Men +100 kg,2000-09-01
Bronze Medal,RAKHIMOV Temur,Male,TJK,Tajikistan,TJK,Tajikistan,Men +100 kg,1997-07-08
Bronze Medal,YUSUPOV Alisher,Male,UZB,Uzbekistan,UZB,Uzbekistan,Men +100 kg,1998-11-27
Gold Medal,SOUZA Beatriz,Female,BRA,Brazil,BRA,Brazil,Women +78 kg,1998-05-20
Silver Medal,HERSHKO Raz,Female,ISR,Israel,ISR,Israel,Women +78 kg,1998-06-19
Bronze Medal,KIM Hayun,Female,KOR,Korea,KOR,Korea,Women +78 kg,2000-01-07
Bronze Medal,DICKO Romane,Female,FRA,France,FRA,France,Women +78 kg,1999-09-30
Gold Medal,LEONE Chiara,Female,SUI,Switzerland,SUI,Switzerland,50m Rifle 3 Positions Women,1998-06-15
Silver Medal,MADDALENA Sagen,Female,USA,United States,USA,United States,50m Rifle 3 Positions Women,1993-08-16
Bronze Medal,ZHANG Qiongyue,Female,CHN,China,CHN,China,50m Rifle 3 Positions Women,2004-03-12
Gold Medal,MARCHAND Leon,Male,FRA,France,FRA,France,Men's 200m Individual Medley,2002-05-17
Silver Medal,SCOTT Duncan,Male,GBR,Great Britain,GBR,Great Britain,Men's 200m Individual Medley,1997-05-06
Bronze Medal,WANG Shun,Male,CHN,China,CHN,China,Men's 200m Individual Medley,1994-02-11
Gold Medal,McEVOY Cameron,Male,AUS,Australia,AUS,Australia,Men's 50m Freestyle,1994-05-13
Silver Medal,PROUD Benjamin,Male,GBR,Great Britain,GBR,Great Britain,Men's 50m Freestyle,1994-09-21
Bronze Medal,MANAUDOU Florent,Male,FRA,France,FRA,France,Men's 50m Freestyle,1990-11-12
Gold Medal,McKEOWN Kaylee,Female,AUS,Australia,AUS,Australia,Women's 200m Backstroke,2001-07-12
Silver Medal,SMITH Regan,Female,USA,United States,USA,United States,Women's 200m Backstroke,2002-02-09
Bronze Medal,MASSE Kylie,Female,CAN,Canada,CAN,Canada,Women's 200m Backstroke,1996-01-18
Bronze Medal,SWIATEK Iga,Female,POL,Poland,POL,Poland,Women's Singles,2001-05-31
Gold Medal,LITVINOVICH Ivan,Male,AIN,AIN,BLR,Belarus,Men,2001-06-26
Silver Medal,WANG Zisai,Male,CHN,China,CHN,China,Men,2006-06-18
Bronze Medal,YAN Langyu,Male,CHN,China,CHN,China,Men,1999-08-31
Gold Medal,PAGE Bryony,Female,GBR,Great Britain,GBR,Great Britain,Women,1990-12-10
Silver Medal,BARDZILOUSKAYA Viyaleta,Female,AIN,AIN,BLR,Belarus,Women,2005-06-07
Bronze Medal,METHOT Sophiane,Female,CAN,Canada,CAN,Canada,Women,1998-08-03
Gold Medal,LIM Sihyeon,Female,KOR,Korea,KOR,Korea,Women's Individual,2003-06-13
Silver Medal,NAM Suhyeon,Female,KOR,Korea,KOR,Korea,Women's Individual,2005-01-27
Bronze Medal,BARBELIN Lisa,Female,FRA,France,FRA,France,Women's Individual,2000-04-10
Gold Medal,YULO Carlos Edriel,Male,PHI,Philippines,PHI,Philippines,Men's Floor Exercise,2000-02-16
Silver Medal,DOLGOPYAT Artem,Male,ISR,Israel,ISR,Israel,Men's Floor Exercise,1997-06-16
Bronze Medal,JARMAN Jake,Male,GBR,Great Britain,GBR,Great Britain,Men's Floor Exercise,2001-12-03
Gold Medal,Mc CLENAGHAN Rhys,Male,IRL,Ireland,IRL,Ireland,Men's Pommel Horse,1999-07-21
Silver Medal,KURBANOV Nariman,Male,KAZ,Kazakhstan,KAZ,Kazakhstan,Men's Pommel Horse,1997-12-06
Bronze Medal,NEDOROSCIK Stephen,Male,USA,United States,USA,United States,Men's Pommel Horse,1998-10-28
Gold Medal,BILES Simone,Female,USA,United States,USA,United States,Women's Vault,1997-03-14
Silver Medal,ANDRADE Rebeca,Female,BRA,Brazil,BRA,Brazil,Women's Vault,1999-05-08
Bronze Medal,CAREY Jade,Female,USA,United States,USA,United States,Women's Vault,2000-05-27
Gold Medal,ROOTH Markus,Male,NOR,Norway,NOR,Norway,Men's Decathlon,2001-12-22
Silver Medal,NEUGEBAUER Leo,Male,GER,Germany,GER,Germany,Men's Decathlon,2000-06-19
Bronze Medal,VICTOR Lindon,Male,GRN,Grenada,GRN,Grenada,Men's Decathlon,1993-02-28
Gold Medal,CROUSER Ryan,Male,USA,United States,USA,United States,Men's Shot Put,1992-12-18
Silver Medal,KOVACS Joe,Male,USA,United States,USA,United States,Men's Shot Put,1989-06-28
Bronze Medal,CAMPBELL Rajindra,Male,JAM,Jamaica,JAM,Jamaica,Men's Shot Put,1996-02-29
Gold Medal,ALFRED Julien,Female,LCA,Saint Lucia,LCA,Saint Lucia,Women's 100m,2001-06-10
Silver Medal,RICHARDSON Sha'carri,Female,USA,United States,USA,United States,Women's 100m,2000-03-25
